name	description	function	returns	argument	type	details
ee.Image.bitwise_xor	Calculates the bitwise XOR of the input values for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.bitwise_xor(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.blend	Overlays one image on top of another. The images are blended together using the masks as opacity. If either of images has only 1 band, it is replicated to match the number of bands in the other image.	Image.blend(top)	Image	bottom|top	Image|Image	The bottom image.|The top image.
ee.Image.byte	Casts the input value to an unsigned 8-bit integer.	Image.byte()	Image	value	Image	The image to which the operation is applied.
ee.Image.cast	Casts some or all bands of an image to the specified types.	Image.cast(bandTypes, bandOrder)	Image	image|bandTypes|bandOrder	Image|Dictionary|List, default: null	The image to cast.|A dictionary from band name to band types. Types can be PixelTypes or strings. The valid strings are: 'int8', 'int16', 'int32', 'int64', 'uint8', 'uint16', 'uint32', 'byte', 'short', 'int', 'long', 'float' and 'double'. If bandTypes includes bands that are not already in the input image, they will be added to the image as transparent bands. If bandOrder isn't also specified, new bands will be appended in alphabetical order.|A list specifying the order of the bands in the result. If specified, must match the full list of bands in the result.
ee.Image.cat	Concatenate the given images together into a single image.	ee.Image.cat(var_args)	Image	var_args	VarArgs	The images to be combined.
ee.Image.cbrt	Computes the cubic root of the input.	Image.cbrt()	Image	value	Image	The image to which the operation is applied.
ee.Image.ceil	Computes the smallest integer greater than or equal to the input.	Image.ceil()	Image	value	Image	The image to which the operation is applied.
ee.Image.changeProj	Tweaks the projection of the input image, moving each pixel from its location in srcProj to the same coordinates in dstProj.	Image.changeProj(srcProj, dstProj)	Image	input|srcProj|dstProj	Image|Projection|Projection	|The original projection.|The new projection.
ee.Image.clamp	Clamps the values in all bands of an image to all lie within the specified range.	Image.clamp(low, high)	Image	input|low|high	Image|Float|Float	The image to clamp.|The minimum allowed value in the range.|The maximum allowed value in the range.
ee.Image.classify	Classifies an image.	Image.classify(classifier, outputName)	Image	image|classifier|outputName	"Image|Classifier|String, default: ""classification"""	The image to classify.  Bands are extracted from this image by name, and it must contain all the bands named in the classifier's schema.|The classifier to use.|The name of the band to be added.
ee.Image.clip	Clips an image to a Geometry or Feature.	Image.clip(geometry)	Image	image|geometry	Image|Feature|Geometry|Object	The Image instance.|The Geometry or Feature to clip to.
ee.Image.clipToBoundsAndScale	Clips an image to the bounds of a Geometry, and scales the clipped image to a particular size or scale.	Image.clipToBoundsAndScale(geometry, width, height, maxDimension, scale)	Image	input|geometry|width|height|maxDimension|scale	Image|Geometry, default: null|Integer, default: null|Integer, default: null|Integer, default: null|Float, default: null	"The image to clip and scale.|The Geometry to clip the image to. The image will be clipped to the bounding box, in the image's projection, of this geometry.|The width to scale the image to, in pixels. Must be provided along with ""height"". Exclusive with ""maxDimension"" and ""scale"".|The height to scale the image to, in pixels. Must be provided along with ""width"". Exclusive with ""maxDimension"" and ""scale"".|The maximum dimension to scale the image to, in pixels. Exclusive with ""width"", ""height"" and ""scale"".|If scale is specified, then the projection is scaled by dividing the specified scale value by the nominal size of a meter in the image's projection. Exclusive with ""width"", ""height"" and ""maxDimension""."
ee.Image.clipToCollection	Clips an image to a FeatureCollection. The output bands correspond exactly the input bands, except data not covered by the geometry of at least one feature from the collection is masked. The output image retains the metadata of the input image.	Image.clipToCollection(collection)	Image	input|collection	Image|Object	The image to clip.|The FeatureCollection to clip to.
ee.Image.cluster	Applies a clusterer to an image.  Returns a new image with a single band containing values from 0 to N, indicating the cluster each pixel is assigned to.	Image.cluster(clusterer, outputName)	Image	image|clusterer|outputName	"Image|Clusterer|String, default: ""cluster"""	The image to cluster. Must contain all the bands in the clusterer's schema.|The clusterer to use.|The name of the output band.
ee.Image.connectedComponents	Finds connected components with the same value of the first band of the input and labels them with a globally unique value.  Connectedness is specified by the given kernel.  Objects larger than maxSize are considered background, and are masked.	Image.connectedComponents(connectedness, maxSize)	Image	image|connectedness|maxSize	Image|Kernel|Integer	The image to label.|Connectedness kernel.|Maximum size of objects to be labeled.
ee.Image.connectedPixelCount	Generate an image where each pixel contains the number of 4- or 8-connected neighbors (including itself).	Image.connectedPixelCount(maxSize, eightConnected)	Image	input|maxSize|eightConnected	Image|Integer, default: 100|Boolean, default: true	The input image.|The maximum size of the neighborhood in pixels.|Whether to use 8-connected rather 4-connected rules.
ee.Image.constant	Generates an image containing a constant value everywhere.	ee.Image.constant(value)	Image	value	Object	The value of the pixels in the constant image. Must be a number or an Array or a list of numbers or Arrays.
ee.Image.convolve	Convolves each band of an image with the given kernel.	Image.convolve(kernel)	Image	image|kernel	Image|Kernel	The image to convolve.|The kernel to convolve with.
ee.Image.cos	Computes the cosine of the input in radians.	Image.cos()	Image	value	Image	The image to which the operation is applied.
ee.Image.cosh	Computes the hyperbolic cosine of the input.	Image.cosh()	Image	value	Image	The image to which the operation is applied.
ee.Image.cumulativeCost	Computes a cumulative cost map based on an image containing costs to traverse each pixel and an image containing source locations.	Image.cumulativeCost(source, maxDistance, geodeticDistance)	Image	cost|source|maxDistance|geodeticDistance	Image|Image|Float|Boolean, default: true	A single-band image representing the cost to traverse each pixel. Masked pixels can't be traversed.|A single-band image representing the sources. A pixel value different from 0  defines a source pixel.|Maximum distance for computation, in meters.|If true, geodetic distance along the curved surface is used, assuming a spherical Earth of radius 6378137.0. If false, euclidean distance in the 2D plane of the map projection is used (faster, but less accurate).
ee.Image.date	Returns the acquisition time of an image as a Date object.  This helper function is equivalent to ee.Date(image.get('system:time_start')).	Image.date()	Date	image	Image	The image whose acquisition time to return.
ee.Image.derivative	Computes the X and Y discrete derivatives for each band in the input image, in pixel coordinates.	Image.derivative()	Image	image	Image	The input image.
ee.Image.digamma	Computes the digamma function of the input.	Image.digamma()	Image	value	Image	The image to which the operation is applied.
ee.Image.displace	Warps an image using an image of displacements.	Image.displace(displacement, mode)	Image	image|displacement|mode	"Image|Image|String, default: ""bicubic"""	The image to warp.|An image containing displacement values. The first band is interpreted as the 'X' displacement and the second as the 'Y' displacement. Each displacement pixel is a [dx,dy] vector added to the pixel location to determine the corresponding pixel location in 'image'. Displacements are interpreted as meters in the default projection of the displacement image.|The interpolation mode to use.  One of 'nearest_neighbor', 'bilinear' or 'bicubic'.)
ee.Image.displacement	Determines displacements required to register an image to a reference image while allowing local, rubber sheet deformations. Displacements are computed in the CRS of the reference image, at a scale dictated by the lowest resolution of the following three projections: input image projection, reference image projection, and requested projection. The displacements are then transformed into the user-specified projection for output.	Image.displacement(referenceImage, maxOffset, projection, patchWidth, stiffness)	Image	image|referenceImage|maxOffset|projection|patchWidth|stiffness	Image|Image|Float|Projection, default: null|Float, default: null|Float, default: 5	The image to register.|The image to register to.|The maximum offset allowed when attempting to align the input images, in meters. Using a smaller value can reduce computation time significantly, but it must still be large enough to cover the greatest displacement within the entire image region.|The projection in which to output displacement values. The default is the projection of the first band of the reference image.|Patch size for detecting image offsets, in meters. This should be set large enough to capture texture, as well as large enough that ignorable objects are small within the patch. Default is null. Patch size will be determined automatically if not provided.|Enforces a stiffness constraint on the solution. Valid values are in the range [0,10]. The stiffness is used for outlier rejection when determining displacements at adjacent grid points. Higher values move the solution towards a rigid transformation. Lower values allow more distortion or warping of the image during registration.
ee.Image.distance	Computes the distance to the nearest non-zero pixel in each band, using the specified distance kernel.	Image.distance(kernel, skipMasked)	Image	image|kernel|skipMasked	Image|Kernel, default: null|Boolean, default: true	The input image.|The distance kernel.|Mask output pixels if the corresponding input pixel is masked.
ee.Image.divide	Divides the first value by the second, returning 0 for division by 0 for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.divide(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.double	Casts the input value to a 64-bit float.	Image.double()	Image	value	Image	The image to which the operation is applied.
ee.Image.entropy	Computes the windowed entropy for each band using the specified kernel centered on each input pixel.	Image.entropy(kernel)	Image	image|kernel	Image|Kernel	The image for which to compute the entropy.|A kernel specifying the window in which to compute.
ee.Image.eq	Returns 1 iff the first value is equal to the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.	Image.eq(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.erf	Computes the error function of the input.	Image.erf()	Image	value	Image	The image to which the operation is applied.
ee.Image.erfInv	Computes the inverse error function of the input.	Image.erfInv()	Image	value	Image	The image to which the operation is applied.
ee.Image.erfc	Computes the complementary error function of the input.	Image.erfc()	Image	value	Image	The image to which the operation is applied.
ee.Image.erfcInv	Computes the inverse complementary error function of the input.	Image.erfcInv()	Image	value	Image	The image to which the operation is applied.
ee.Image.evaluate	Asynchronously retrieves the value of this object from the server and passes it to the provided callback function.	Image.evaluate(callback)		computedobject|callback	ComputedObject|Function	The ComputedObject instance.|A function of the form function(success, failure), called when the server returns an answer. If the request succeeded, the success argument contains the evaluated result.  If the request failed, the failure argument will contains an error message.
ee.Image.exp	Computes the Euler's number e raised to the power of the input.	Image.exp()	Image	value	Image	The image to which the operation is applied.
ee.Image.expression	Evaluates an arithmetic expression on an image, possibly involving additional images.	Image.expression(expression, map)	Image	image|expression|map	Image|String|Dictionary, optional	The Image instance.|The expression to evaluate.|A map of input images available by name.
ee.Image.fastDistanceTransform	Returns the distance, as determined by the specified distance metric, to the nearest non-zero valued pixel in the input.  The output contains values for all pixels within the given neighborhood size, regardless of the input's mask.  Note: the default distance metric returns squared distance.	Image.fastDistanceTransform(neighborhood, units, metric)	Image	image|neighborhood|units|metric	"Image|Integer, default: 256|String, default: ""pixels""|String, default: ""squared_euclidean"""	The input image.|Neighborhood size in pixels.|The units of the neighborhood, currently only 'pixels' are supported.|Distance metric to use: options are 'squared_euclidean', 'manhattan' or 'chebyshev'.
ee.Image.first	Selects the value of the first value for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.first(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.firstNonZero	Selects the first value if it is non-zero, and the second value otherwise for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.firstNonZero(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.first_nonzero	Selects the first value if it is non-zero, and the second value otherwise for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.first_nonzero(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.float	Casts the input value to a 32-bit float.	Image.float()	Image	value	Image	The image to which the operation is applied.
ee.Image.floor	Computes the largest integer less than or equal to the input.	Image.floor()	Image	value	Image	The image to which the operation is applied.
ee.Image.focal_max	Applies a morphological reducer() filter to each band of an image using a named or custom kernel.	Image.focal_max(radius, kernelType, units, iterations, kernel)	Image	image|radius|kernelType|units|iterations|kernel	"Image|Float, default: 1.5|String, default: ""circle""|String, default: ""pixels""|Integer, default: 1|Kernel, default: null"	The image to which to apply the operations.|The radius of the kernel to use.|The type of kernel to use. Options include: 'circle', 'square', 'cross', 'plus', octagon' and 'diamond'.|If a kernel is not specified, this determines whether the kernel is in meters or pixels.|The number of times to apply the given kernel.|A custom kernel. If used, kernelType and radius are ignored.
ee.Image.focal_mean	Applies a morphological mean filter to each band of an image using a named or custom kernel.	Image.focal_mean(radius, kernelType, units, iterations, kernel)	Image	image|radius|kernelType|units|iterations|kernel	"Image|Float, default: 1.5|String, default: ""circle""|String, default: ""pixels""|Integer, default: 1|Kernel, default: null"	The image to which to apply the operations.|The radius of the kernel to use.|The type of kernel to use. Options include: 'circle', 'square', 'cross', 'plus', octagon' and 'diamond'.|If a kernel is not specified, this determines whether the kernel is in meters or pixels.|The number of times to apply the given kernel.|A custom kernel. If used, kernelType and radius are ignored.
ee.Image.focal_median	Applies a morphological reducer() filter to each band of an image using a named or custom kernel.	Image.focal_median(radius, kernelType, units, iterations, kernel)	Image	image|radius|kernelType|units|iterations|kernel	"Image|Float, default: 1.5|String, default: ""circle""|String, default: ""pixels""|Integer, default: 1|Kernel, default: null"	The image to which to apply the operations.|The radius of the kernel to use.|The type of kernel to use. Options include: 'circle', 'square', 'cross', 'plus', octagon' and 'diamond'.|If a kernel is not specified, this determines whether the kernel is in meters or pixels.|The number of times to apply the given kernel.|A custom kernel. If used, kernelType and radius are ignored.
ee.Image.focal_min	Applies a morphological reducer() filter to each band of an image using a named or custom kernel.	Image.focal_min(radius, kernelType, units, iterations, kernel)	Image	image|radius|kernelType|units|iterations|kernel	"Image|Float, default: 1.5|String, default: ""circle""|String, default: ""pixels""|Integer, default: 1|Kernel, default: null"	The image to which to apply the operations.|The radius of the kernel to use.|The type of kernel to use. Options include: 'circle', 'square', 'cross', 'plus', octagon' and 'diamond'.|If a kernel is not specified, this determines whether the kernel is in meters or pixels.|The number of times to apply the given kernel.|A custom kernel. If used, kernelType and radius are ignored.
ee.Image.focal_mode	Applies a morphological reducer() filter to each band of an image using a named or custom kernel.	Image.focal_mode(radius, kernelType, units, iterations, kernel)	Image	image|radius|kernelType|units|iterations|kernel	"Image|Float, default: 1.5|String, default: ""circle""|String, default: ""pixels""|Integer, default: 1|Kernel, default: null"	The image to which to apply the operations.|The radius of the kernel to use.|The type of kernel to use. Options include: 'circle', 'square', 'cross', 'plus', octagon' and 'diamond'.|If a kernel is not specified, this determines whether the kernel is in meters or pixels.|The number of times to apply the given kernel.|A custom kernel. If used, kernelType and radius are ignored.
ee.Image.gamma	Computes the gamma function of the input.	Image.gamma()	Image	value	Image	The image to which the operation is applied.
ee.Image.gammainc	Calculates the regularized lower incomplete Gamma function γ(x,a) for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is float.	Image.gammainc(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.get	Extract a property from a feature.	Image.get(property)		object|property	Element|String	The feature to extract the property from.|The property to extract.
ee.Image.getArray	Extract a property from a feature.	Image.getArray(property)	Array	object|property	Element|String	The feature to extract the property from.|The property to extract.
ee.Image.getDownloadURL	Get a Download URL for the image, which always downloads a zipped GeoTIFF. Use getThumbURL for other file formats like PNG, JPG, or raw GeoTIFF.	Image.getDownloadURL(params, callback)	Object|String	image|params|callback	Image|Object|Function, optional	The Image instance.|An object containing download options with the following possible values:|  - name: a base name to use when constructing filenames.|  - bands: a description of the bands to download. Must be an array of dictionaries, each with the following keys:|    + id: the name of the band, a string, required.|    + crs: an optional CRS string defining the band projection.|    + crs_transform: an optional array of 6 numbers specifying an affine transform from the specified CRS, in row-major order:|[xScale, xShearing, xTranslation, yShearing, yScale, yTranslation]|    + dimensions: an optional array of two integers defining the width and height to which the band is cropped.|    + scale: an optional number, specifying the scale in meters of the band; ignored if crs and crs_transform is specified.|  - crs: a default CRS string to use for any bands that do not explicitly specify one.|  - crs_transform: a default affine transform to use for any bands that do not specify one, of the same format as the crs_transform of bands.|  - dimensions: default image cropping dimensions to use for any bands that do not specify them.|  - scale: a default scale to use for any bands that do not specify one; ignored if crs and crs_transform is specified.|  - region: a polygon specifying a region to download; ignored if crs and crs_transform is specified.|  - filePerBand: Whether to produce a different GeoTIFF per band (boolean). Defaults to true. If false, a single GeoTIFF is produced and all band-level transformations will be ignored.|An optional callback. If not supplied, the call is made synchronously.
ee.Image.getInfo	An imperative function that returns information about this image via an AJAX call.	Image.getInfo(callback)	ImageDescription	image|callback	Image|Function, optional	The Image instance.|An optional callback. If not supplied, the call is made synchronously. If supplied, will be called with the first parameter if successful and the second if unsuccessful.
ee.Image.getMap	An imperative function that returns a map id and optional token, suitable for generating a Map overlay.	Image.getMap(visParams, callback)	MapId|Object	image|visParams|callback	Image|ImageVisualizationParameters, optional|Function, optional	The Image instance.|The visualization parameters.|An async callback. If not supplied, the call is made synchronously.
ee.Image.getNumber	Extract a property from a feature.	Image.getNumber(property)	Number	object|property	Element|String	The feature to extract the property from.|The property to extract.
ee.Image.getString	Extract a property from a feature.	Image.getString(property)	String	object|property	Element|String	The feature to extract the property from.|The property to extract.
ee.Image.getThumbId	Applies transformations and returns the thumbId.	Image.getThumbId(params, callback)	ThumbnailId	image|params|callback	Image|Object|Function, optional	The Image instance.|Parameters identical to ee.data.getMapId, plus, optionally:|  - dimensions (a number or pair of numbers in format WIDTHxHEIGHT) Maximum dimensions of the thumbnail to render, in pixels. If only one number is passed, it is used as the maximum, and the other dimension is computed by proportional scaling.|  - region Geospatial region of the image to render, it may be an ee.Geometry, GeoJSON, or an array of lat/lon points (E,S,W,N). If not set the default is the bounds image.|An optional callback. If not supplied, the call is made synchronously.
ee.Image.getThumbURL	Get a thumbnail URL for this image.	Image.getThumbURL(params, callback)	Object|String	image|params|callback	Image|Object|Function, optional	The Image instance.|Parameters identical to ee.data.getMapId, plus, optionally:|  - dimensions (a number or pair of numbers in format WIDTHxHEIGHT) Maximum dimensions of the thumbnail to render, in pixels. If only one number is passed, it is used as the maximum, and the other dimension is computed by proportional scaling.|  - region Geospatial region of the image to render, it may be an ee.Geometry, GeoJSON, or an array of lat/lon points (E,S,W,N). If not set the default is the bounds image.|  - format (string) Either 'png' or 'jpg'.|An optional callback. If not supplied, the call is made synchronously.
ee.Image.glcmTexture	Computes texture metrics from the Gray Level Co-occurrence Matrix around each pixel of every band.  The GLCM is a tabulation of how often different combinations of pixel brightness values (grey levels) occur in an image.  It counts the number of times a pixel of value X lies next to a pixel of value Y, in a particular direction and distance. and then derives statistics from this tabulation.	Image.glcmTexture(size, kernel, average)	Image	image|size|kernel|average	Image|Integer, default: 1|Kernel, default: null|Boolean, default: true	The image for which to compute texture metrics.|The size of the neighborhood to include in each GLCM.|A kernel specifying the x and y offsets over which to compute the GLCMs.  A GLCM is computed for each pixel in the kernel that is non-zero, except the center pixel and as long as a GLCM hasn't already been computed for the same direction and distance.  For example, if either or both of the east and west pixels are set, only 1 (horizontal) GLCM is computed.  Kernels are scanned from left to right and top to bottom.  The default is a 3x3 square, resulting in 4 GLCMs with the offsets (-1, -1), (0, -1), (1, -1) and (-1, 0).|If true, the directional bands for each metric are averaged.
ee.Image.gradient	Calculates the x and y gradient.	Image.gradient()	Image	input	Image	The input image.
ee.Image.gt	Returns 1 iff the first value is greater than the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.	Image.gt(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.gte	Returns 1 iff the first value is greater than or equal to the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.	Image.gte(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.hsvToRgb	Transforms the image from the HSV color space to the RGB color space.  Expects a 3 band image in the range [0, 1], and produces three bands: red, green and blue with values in the range [0, 1].	Image.hsvToRgb()	Image	image	Image	The image to transform.
ee.Image.hypot	Calculates the magnitude of the 2D vector [x, y] for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is float.	Image.hypot(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.id	Returns the ID of a given element within a collection. Objects outside collections are not guaranteed to have IDs.	Image.id()	String	element	Element	The element from which the ID is taken.
ee.Image.int	Casts the input value to a signed 32-bit integer.	Image.int()	Image	value	Image	The image to which the operation is applied.
ee.Image.int16	Casts the input value to a signed 16-bit integer.	Image.int16()	Image	value	Image	The image to which the operation is applied.
ee.Image.int32	Casts the input value to a signed 32-bit integer.	Image.int32()	Image	value	Image	The image to which the operation is applied.
ee.Image.int64	Casts the input value to a signed 64-bit integer.	Image.int64()	Image	value	Image	The image to which the operation is applied.
ee.Image.int8	Casts the input value to a signed 8-bit integer.	Image.int8()	Image	value	Image	The image to which the operation is applied.
ee.Image.interpolate	"Interpolates each point in the first band of the input image into the piecewise-linear function specified by the x and y arrays.  The x values must be strictly increasing.  If an input point is less than the first or greater than the last x value, then the output is specified by the ""behavior"" argument: ""extrapolate"" specifies the output value is extrapolated from the two nearest points, ""clamp"" specifies the output value is taken from the nearest point, ""input""  specifies the output value is copied from the input and ""mask"" specifies the output value is masked."	Image.interpolate(x, y, behavior)	Image	image|x|y|behavior	"Image|List|List|String, default: ""extrapolate"""	The image to which the interpolation is applied.|The x axis (input) values in the piecewise function.|The y axis (output) values in the piecewise function.|The behavior for points that are outside of the range of the supplied function.  Options are: 'extrapolate', 'clamp', 'mask' or 'input'.
ee.Image.lanczos	Computes the Lanczos approximation of the input.	Image.lanczos()	Image	value	Image	The image to which the operation is applied.
ee.Image.leftShift	Calculates the left shift of v1 by v2 bits for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.leftShift(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.left_shift	Calculates the left shift of v1 by v2 bits for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.left_shift(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.load	Returns the image given its ID.	ee.Image.load(id, version)	Image	id|version	String|Long, default: -1	The asset ID of the image.|The version of the asset. -1 signifies the latest version.
ee.Image.log	Computes the natural logarithm of the input.	Image.log()	Image	value	Image	The image to which the operation is applied.
ee.Image.log10	Computes the base-10 logarithm of the input.	Image.log10()	Image	value	Image	The image to which the operation is applied.
ee.Image.long	Casts the input value to a signed 64-bit integer.	Image.long()	Image	value	Image	The image to which the operation is applied.
ee.Image.lt	Returns 1 iff the first value is less than the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.	Image.lt(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.lte	Returns 1 iff the first value is less than or equal to the second for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is boolean.	Image.lte(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.mask	Gets or sets an image's mask. The output image retains the metadata and footprint of the input image. Pixels where the mask changes from zero to another value will be filled with zeros, or the values closest to zero within the range of the pixel type.	Image.mask(mask)	Image	image|mask	Image|Image, default: null	The input image.|The mask image. If specified, the input image is copied to the output but given the mask by the values of this image. If this is a single band, it is used for all bands in the input image. If not specified, returns an image created from the mask of the input image, scaled to the range [0:1] (invalid = 0, valid = 1.0).
ee.Image.matrixCholeskyDecomposition	Calculates the Cholesky decomposition of a matrix. The Cholesky decomposition is a decomposition into the form L*L' where L is a lower triangular matrix. The input must be a symmetric positive-definite matrix. Returns an image with 1 band named 'L'.	Image.matrixCholeskyDecomposition()	Image	image	Image	Image of 2-D matrices to be decomposed.
ee.Image.matrixDeterminant	Computes the determinant of the matrix.	Image.matrixDeterminant()	Image	value	Image	The image to which the operation is applied.
ee.Image.matrixDiagonal	Computes the diagonal of the matrix in a single column.	Image.matrixDiagonal()	Image	value	Image	The image to which the operation is applied.
ee.Image.matrixFnorm	Computes the Frobenius norm of the matrix.	Image.matrixFnorm()	Image	value	Image	The image to which the operation is applied.
ee.Image.matrixIdentity	Creates an image where each pixel is a 2D identity matrix of the given size.	ee.Image.matrixIdentity(size)	Image	size	Integer	The length of each axis.
ee.Image.matrixInverse	Computes the inverse of the matrix.	Image.matrixInverse()	Image	value	Image	The image to which the operation is applied.
ee.Image.matrixLUDecomposition	Calculates the LU matrix decomposition such that P×input=L×U, where L is lower triangular (with unit diagonal terms), U is upper triangular and P is a partial pivot permutation matrix. The input matrix must be square. Returns an image with bands named 'L', 'U' and 'P'.	Image.matrixLUDecomposition()	Image	image	Image	Image of 2-D matrices to be decomposed.
ee.Image.matrixMultiply	Returns the matrix multiplication A*B for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.matrixMultiply(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
ee.Image.matrixPseudoInverse	Computes the Moore-Penrose pseudoinverse of the matrix.	Image.matrixPseudoInverse()	Image	value	Image	The image to which the operation is applied.
ee.Image.matrixQRDecomposition	Calculates the QR-decomposition of a matrix into two matrices Q and R such that input = QR, where Q is orthogonal, and R is upper triangular. Returns an image with bands named 'Q' and 'R'.	Image.matrixQRDecomposition()	Image	image	Image	Image of 2-D matrices to be decomposed.
ee.Image.matrixSingularValueDecomposition	Calculates the Singular Value Decomposition of the input matrix into U×S×V', such that U and V are orthogonal and S is diagonal. Returns an image with bands named 'U', 'S' and 'V'.	Image.matrixSingularValueDecomposition()	Image	image	Image	Image of 2-D matrices to be decomposed.
ee.Image.matrixSolve	Solves for x in the matrix equation A*x=B, finding a least-squares solution if A is overdetermined for each matched pair of bands in image1 and image2. If either image1 or image2 has only 1 band, then it is used against all the bands in the other image. If the images have the same number of bands, but not the same names, they're used pairwise in the natural order. The output bands are named for the longer of the two inputs, or if they're equal in length, in image1's order. The type of the output pixels is the union of the input types.	Image.matrixSolve(image2)	Image	image1|image2	Image|Image	The image from which the left operand bands are taken.|The image from which the right operand bands are taken.
